time,value,field,id
2025-10-07T06:00:00Z,15,ch2o,176068
2025-10-07T07:00:00Z,14,ch2o,176068
2025-10-07T08:00:00Z,14.6,ch2o,176068
2025-10-07T09:00:00Z,13.86,ch2o,176068
2025-10-07T10:00:00Z,13.14,ch2o,176068
2025-10-07T11:00:00Z,14.5,ch2o,176068
2025-10-07T12:00:00Z,14,ch2o,176068
2025-10-07T13:00:00Z,14.2,ch2o,176068
2025-10-07T14:00:00Z,15.17,ch2o,176068
2025-10-07T15:00:00Z,14.25,ch2o,176068
2025-10-07T16:00:00Z,15,ch2o,176068
2025-10-07T17:00:00Z,15.33,ch2o,176068
2025-10-07T18:00:00Z,14.67,ch2o,176068
2025-10-07T19:00:00Z,14.4,ch2o,176068
2025-10-07T20:00:00Z,14,ch2o,176068
2025-10-07T21:00:00Z,14.4,ch2o,176068
2025-10-07T22:00:00Z,13,ch2o,176068
2025-10-07T23:00:00Z,15.25,ch2o,176068
2025-10-08T00:00:00Z,13.88,ch2o,176068
2025-10-08T01:00:00Z,14.83,ch2o,176068
2025-10-08T02:00:00Z,15.29,ch2o,176068
2025-10-08T03:00:00Z,14.75,ch2o,176068
2025-10-08T04:00:00Z,14.25,ch2o,176068
2025-10-08T05:00:00Z,14.6,ch2o,176068
2025-10-08T06:00:00Z,15.71,ch2o,176068
2025-10-08T07:00:00Z,15.33,ch2o,176068
2025-10-08T08:00:00Z,14.56,ch2o,176068
2025-10-08T09:00:00Z,15,ch2o,176068
2025-10-08T10:00:00Z,13.71,ch2o,176068
2025-10-08T11:00:00Z,15.57,ch2o,176068
2025-10-08T12:00:00Z,14.63,ch2o,176068
2025-10-08T13:00:00Z,14.5,ch2o,176068
2025-10-08T14:00:00Z,13.75,ch2o,176068
2025-10-08T15:00:00Z,12.83,ch2o,176068
2025-10-08T16:00:00Z,13.86,ch2o,176068
2025-10-08T17:00:00Z,13.57,ch2o,176068
2025-10-08T18:00:00Z,15.2,ch2o,176068
2025-10-08T19:00:00Z,14.43,ch2o,176068
2025-10-08T20:00:00Z,14.5,ch2o,176068
2025-10-08T21:00:00Z,14,ch2o,176068
2025-10-08T22:00:00Z,13.88,ch2o,176068
2025-10-08T23:00:00Z,14.57,ch2o,176068
2025-10-09T00:00:00Z,14.83,ch2o,176068
2025-10-09T01:00:00Z,14,ch2o,176068
2025-10-09T02:00:00Z,15,ch2o,176068
2025-10-09T03:00:00Z,14.57,ch2o,176068
2025-10-09T04:00:00Z,13.2,ch2o,176068
2025-10-09T05:00:00Z,13.14,ch2o,176068
2025-10-09T06:00:00Z,14.5,ch2o,176068
2025-10-09T07:00:00Z,15.57,ch2o,176068
2025-10-09T08:00:00Z,14.44,ch2o,176068
2025-10-09T09:00:00Z,15.2,ch2o,176068
2025-10-09T10:00:00Z,12.75,ch2o,176068
2025-10-09T11:00:00Z,14,ch2o,176068
2025-10-09T12:00:00Z,15.8,ch2o,176068
2025-10-09T13:00:00Z,15.29,ch2o,176068
2025-10-09T14:00:00Z,14.5,ch2o,176068
2025-10-09T15:00:00Z,14.33,ch2o,176068
2025-10-09T16:00:00Z,15.6,ch2o,176068
2025-10-09T17:00:00Z,13.86,ch2o,176068
2025-10-09T18:00:00Z,15.2,ch2o,176068
2025-10-09T19:00:00Z,15,ch2o,176068
2025-10-09T20:00:00Z,15.44,ch2o,176068
2025-10-09T21:00:00Z,14.67,ch2o,176068
2025-10-09T22:00:00Z,14.67,ch2o,176068
2025-10-09T23:00:00Z,15,ch2o,176068
2025-10-10T00:00:00Z,15.43,ch2o,176068
2025-10-10T01:00:00Z,14.17,ch2o,176068
2025-10-10T02:00:00Z,15.14,ch2o,176068
2025-10-10T03:00:00Z,13.75,ch2o,176068
2025-10-07T04:00:00Z,47,ch2o,216259
2025-10-07T05:00:00Z,47,ch2o,216259
2025-10-07T06:00:00Z,47,ch2o,216259
2025-10-07T07:00:00Z,48,ch2o,216259
2025-10-07T08:00:00Z,48,ch2o,216259
2025-10-07T09:00:00Z,48,ch2o,216259
2025-10-07T10:00:00Z,48,ch2o,216259
2025-10-07T11:00:00Z,48,ch2o,216259
2025-10-07T12:00:00Z,48,ch2o,216259
2025-10-07T13:00:00Z,48,ch2o,216259
2025-10-07T14:00:00Z,48,ch2o,216259
2025-10-07T15:00:00Z,48,ch2o,216259
2025-10-07T16:00:00Z,48,ch2o,216259
2025-10-07T17:00:00Z,48,ch2o,216259
2025-10-07T18:00:00Z,48,ch2o,216259
2025-10-07T19:00:00Z,48,ch2o,216259
2025-10-07T20:00:00Z,48,ch2o,216259
2025-10-07T21:00:00Z,48,ch2o,216259
2025-10-07T22:00:00Z,48,ch2o,216259
2025-10-07T23:00:00Z,43,ch2o,216259
2025-10-08T01:00:00Z,43,ch2o,216259
2025-10-08T02:00:00Z,43,ch2o,216259
2025-10-08T03:00:00Z,43,ch2o,216259
2025-10-08T04:00:00Z,43,ch2o,216259
2025-10-08T05:00:00Z,43,ch2o,216259
2025-10-08T06:00:00Z,43,ch2o,216259
2025-10-08T07:00:00Z,42.75,ch2o,216259
2025-10-08T08:00:00Z,43,ch2o,216259
2025-10-08T09:00:00Z,43,ch2o,216259
2025-10-08T10:00:00Z,43,ch2o,216259
2025-10-08T11:00:00Z,43,ch2o,216259
2025-10-08T12:00:00Z,43,ch2o,216259
2025-10-08T13:00:00Z,43,ch2o,216259
2025-10-08T14:00:00Z,43,ch2o,216259
2025-10-08T15:00:00Z,43.5,ch2o,216259
2025-10-08T16:00:00Z,44,ch2o,216259
2025-10-08T17:00:00Z,44,ch2o,216259
2025-10-08T18:00:00Z,44,ch2o,216259
2025-10-08T19:00:00Z,44,ch2o,216259
2025-10-08T20:00:00Z,44,ch2o,216259
2025-10-08T21:00:00Z,44,ch2o,216259
2025-10-08T22:00:00Z,44,ch2o,216259
2025-10-08T23:00:00Z,48.67,ch2o,216259
2025-10-09T00:00:00Z,49,ch2o,216259
2025-10-09T02:00:00Z,49,ch2o,216259
2025-10-09T03:00:00Z,49,ch2o,216259
2025-10-09T04:00:00Z,49,ch2o,216259
2025-10-09T05:00:00Z,49,ch2o,216259
2025-10-09T06:00:00Z,49,ch2o,216259
2025-10-09T07:00:00Z,49,ch2o,216259
2025-10-09T08:00:00Z,49,ch2o,216259
2025-10-09T09:00:00Z,49,ch2o,216259
2025-10-09T10:00:00Z,49,ch2o,216259
2025-10-09T11:00:00Z,49,ch2o,216259
2025-10-09T12:00:00Z,49,ch2o,216259
2025-10-09T13:00:00Z,49,ch2o,216259
2025-10-09T14:00:00Z,49,ch2o,216259
2025-10-09T15:00:00Z,49,ch2o,216259
2025-10-09T16:00:00Z,49,ch2o,216259
2025-10-07T04:00:00Z,0,ch2o,400381
2025-10-07T05:00:00Z,0,ch2o,400381
2025-10-07T06:00:00Z,0,ch2o,400381
2025-10-07T07:00:00Z,0,ch2o,400381
2025-10-07T08:00:00Z,0,ch2o,400381
2025-10-07T09:00:00Z,0,ch2o,400381
2025-10-07T10:00:00Z,0,ch2o,400381
2025-10-07T11:00:00Z,0,ch2o,400381
2025-10-07T12:00:00Z,0,ch2o,400381
2025-10-07T13:00:00Z,0,ch2o,400381
2025-10-07T14:00:00Z,0,ch2o,400381
2025-10-07T15:00:00Z,0,ch2o,400381
2025-10-07T16:00:00Z,0,ch2o,400381
2025-10-07T17:00:00Z,0,ch2o,400381
2025-10-07T18:00:00Z,0,ch2o,400381
2025-10-07T19:00:00Z,0,ch2o,400381
2025-10-07T20:00:00Z,0,ch2o,400381
2025-10-07T21:00:00Z,0,ch2o,400381
2025-10-07T22:00:00Z,0,ch2o,400381
2025-10-07T23:00:00Z,0,ch2o,400381
2025-10-08T00:00:00Z,0,ch2o,400381
2025-10-08T01:00:00Z,0,ch2o,400381
2025-10-08T02:00:00Z,0,ch2o,400381
2025-10-08T03:00:00Z,0,ch2o,400381
2025-10-08T04:00:00Z,0,ch2o,400381
2025-10-08T05:00:00Z,0,ch2o,400381
2025-10-08T06:00:00Z,0,ch2o,400381
2025-10-08T07:00:00Z,0,ch2o,400381
2025-10-08T08:00:00Z,0,ch2o,400381
2025-10-08T09:00:00Z,0,ch2o,400381
2025-10-08T10:00:00Z,0,ch2o,400381
2025-10-08T11:00:00Z,0,ch2o,400381
2025-10-08T12:00:00Z,0,ch2o,400381
2025-10-08T13:00:00Z,0,ch2o,400381
2025-10-08T14:00:00Z,0,ch2o,400381
2025-10-08T15:00:00Z,0,ch2o,400381
2025-10-08T16:00:00Z,0,ch2o,400381
2025-10-08T17:00:00Z,0,ch2o,400381
2025-10-08T18:00:00Z,0,ch2o,400381
2025-10-08T19:00:00Z,0,ch2o,400381
2025-10-08T20:00:00Z,0,ch2o,400381
2025-10-08T21:00:00Z,0,ch2o,400381
2025-10-08T22:00:00Z,0,ch2o,400381
2025-10-08T23:00:00Z,0,ch2o,400381
2025-10-09T00:00:00Z,0,ch2o,400381
2025-10-09T01:00:00Z,0,ch2o,400381
2025-10-09T02:00:00Z,0,ch2o,400381
2025-10-09T03:00:00Z,0,ch2o,400381
2025-10-09T04:00:00Z,0,ch2o,400381
2025-10-09T05:00:00Z,0,ch2o,400381
2025-10-09T06:00:00Z,0,ch2o,400381
2025-10-09T07:00:00Z,0,ch2o,400381
2025-10-09T08:00:00Z,0,ch2o,400381
2025-10-09T09:00:00Z,0,ch2o,400381
2025-10-09T10:00:00Z,0,ch2o,400381
2025-10-09T11:00:00Z,0,ch2o,400381
2025-10-09T12:00:00Z,0,ch2o,400381
2025-10-09T13:00:00Z,0,ch2o,400381
2025-10-09T14:00:00Z,0,ch2o,400381
2025-10-09T15:00:00Z,0,ch2o,400381
2025-10-09T16:00:00Z,0,ch2o,400381
2025-10-09T17:00:00Z,0,ch2o,400381
2025-10-09T18:00:00Z,0,ch2o,400381
2025-10-09T19:00:00Z,0,ch2o,400381
2025-10-09T20:00:00Z,0,ch2o,400381
2025-10-07T04:00:00Z,13,ch2o,470260
2025-10-07T05:00:00Z,13,ch2o,470260
2025-10-07T06:00:00Z,13,ch2o,470260
2025-10-07T07:00:00Z,13,ch2o,470260
2025-10-07T08:00:00Z,13,ch2o,470260
2025-10-07T09:00:00Z,13,ch2o,470260
2025-10-07T10:00:00Z,13,ch2o,470260
2025-10-07T11:00:00Z,13,ch2o,470260
2025-10-07T12:00:00Z,13,ch2o,470260
2025-10-07T13:00:00Z,13,ch2o,470260
2025-10-07T14:00:00Z,13,ch2o,470260
2025-10-07T15:00:00Z,13,ch2o,470260
2025-10-07T16:00:00Z,13,ch2o,470260
2025-10-07T17:00:00Z,13,ch2o,470260
2025-10-07T18:00:00Z,13.75,ch2o,470260
2025-10-07T19:00:00Z,14,ch2o,470260
2025-10-07T20:00:00Z,13.25,ch2o,470260
2025-10-07T21:00:00Z,13,ch2o,470260
2025-10-07T22:00:00Z,13,ch2o,470260
2025-10-07T23:00:00Z,13,ch2o,470260
2025-10-08T00:00:00Z,12.75,ch2o,470260
2025-10-08T01:00:00Z,13,ch2o,470260
2025-10-08T02:00:00Z,13,ch2o,470260
2025-10-08T03:00:00Z,13,ch2o,470260
2025-10-08T04:00:00Z,12.5,ch2o,470260
2025-10-08T05:00:00Z,12,ch2o,470260
2025-10-08T06:00:00Z,12.25,ch2o,470260
2025-10-08T07:00:00Z,13,ch2o,470260
2025-10-08T08:00:00Z,13,ch2o,470260
2025-10-08T09:00:00Z,13,ch2o,470260
2025-10-08T10:00:00Z,13,ch2o,470260
2025-10-08T11:00:00Z,13,ch2o,470260
2025-10-08T12:00:00Z,13,ch2o,470260
2025-10-08T13:00:00Z,13,ch2o,470260
2025-10-08T14:00:00Z,12.75,ch2o,470260
2025-10-08T15:00:00Z,12,ch2o,470260
2025-10-08T16:00:00Z,12,ch2o,470260
2025-10-08T17:00:00Z,13,ch2o,470260
2025-10-08T18:00:00Z,13,ch2o,470260
2025-10-08T19:00:00Z,14,ch2o,470260
2025-10-08T20:00:00Z,14,ch2o,470260
2025-10-08T21:00:00Z,13,ch2o,470260
2025-10-08T22:00:00Z,13,ch2o,470260
2025-10-08T23:00:00Z,13,ch2o,470260
2025-10-09T00:00:00Z,13,ch2o,470260
2025-10-09T01:00:00Z,13,ch2o,470260
2025-10-09T02:00:00Z,13,ch2o,470260
2025-10-09T03:00:00Z,13,ch2o,470260
2025-10-09T04:00:00Z,13,ch2o,470260
2025-10-09T05:00:00Z,13,ch2o,470260
2025-10-09T06:00:00Z,13,ch2o,470260
2025-10-09T07:00:00Z,13.5,ch2o,470260
2025-10-09T08:00:00Z,14,ch2o,470260
2025-10-09T09:00:00Z,13.5,ch2o,470260
2025-10-09T10:00:00Z,13,ch2o,470260
2025-10-09T11:00:00Z,13.33,ch2o,470260
2025-10-09T12:00:00Z,14,ch2o,470260
2025-10-09T13:00:00Z,13.6,ch2o,470260
2025-10-09T14:00:00Z,13,ch2o,470260
2025-10-09T15:00:00Z,11.75,ch2o,470260
2025-10-09T16:00:00Z,9.5,ch2o,470260
2025-10-09T17:00:00Z,11.8,ch2o,470260
2025-10-09T18:00:00Z,15,ch2o,470260
2025-10-09T19:00:00Z,16,ch2o,470260
2025-10-09T20:00:00Z,19.8,ch2o,470260
2025-10-09T21:00:00Z,19.75,ch2o,470260
2025-10-09T22:00:00Z,20.75,ch2o,470260
2025-10-09T23:00:00Z,21,ch2o,470260
2025-10-10T00:00:00Z,17,ch2o,470260
2025-10-07T04:00:00Z,8,ch2o,470269
2025-10-07T05:00:00Z,8,ch2o,470269
2025-10-07T06:00:00Z,8,ch2o,470269
2025-10-07T07:00:00Z,8,ch2o,470269
2025-10-07T08:00:00Z,8.4,ch2o,470269
2025-10-07T09:00:00Z,9,ch2o,470269
2025-10-07T10:00:00Z,9.4,ch2o,470269
2025-10-07T11:00:00Z,10,ch2o,470269
2025-10-07T12:00:00Z,9.75,ch2o,470269
2025-10-07T13:00:00Z,9,ch2o,470269
2025-10-07T14:00:00Z,9.2,ch2o,470269
2025-10-07T15:00:00Z,9,ch2o,470269
2025-10-07T16:00:00Z,8.75,ch2o,470269
2025-10-07T17:00:00Z,8,ch2o,470269
2025-10-07T18:00:00Z,8,ch2o,470269
2025-10-07T19:00:00Z,8,ch2o,470269
2025-10-07T20:00:00Z,8,ch2o,470269
2025-10-07T21:00:00Z,8,ch2o,470269
2025-10-07T22:00:00Z,8,ch2o,470269
2025-10-07T23:00:00Z,8,ch2o,470269
2025-10-08T00:00:00Z,8,ch2o,470269
2025-10-08T01:00:00Z,8,ch2o,470269
2025-10-08T02:00:00Z,8,ch2o,470269
2025-10-08T03:00:00Z,8,ch2o,470269
2025-10-08T04:00:00Z,8,ch2o,470269
2025-10-08T05:00:00Z,8,ch2o,470269
2025-10-08T06:00:00Z,8,ch2o,470269
2025-10-08T07:00:00Z,8,ch2o,470269
2025-10-08T08:00:00Z,8,ch2o,470269
2025-10-08T09:00:00Z,8,ch2o,470269
2025-10-08T10:00:00Z,8,ch2o,470269
2025-10-08T11:00:00Z,8,ch2o,470269
2025-10-08T12:00:00Z,8,ch2o,470269
2025-10-08T13:00:00Z,8,ch2o,470269
2025-10-08T14:00:00Z,8,ch2o,470269
2025-10-08T15:00:00Z,8,ch2o,470269
2025-10-08T16:00:00Z,8,ch2o,470269
2025-10-08T17:00:00Z,8,ch2o,470269
2025-10-08T18:00:00Z,8,ch2o,470269
2025-10-08T19:00:00Z,8,ch2o,470269
2025-10-08T20:00:00Z,8,ch2o,470269
2025-10-08T21:00:00Z,8,ch2o,470269
2025-10-08T22:00:00Z,8,ch2o,470269
2025-10-08T23:00:00Z,8,ch2o,470269
2025-10-09T00:00:00Z,8,ch2o,470269
2025-10-09T01:00:00Z,8,ch2o,470269
2025-10-09T02:00:00Z,8,ch2o,470269
2025-10-09T03:00:00Z,8,ch2o,470269
2025-10-09T04:00:00Z,8,ch2o,470269
2025-10-09T05:00:00Z,8,ch2o,470269
2025-10-09T06:00:00Z,8,ch2o,470269
2025-10-09T07:00:00Z,8,ch2o,470269
2025-10-09T08:00:00Z,10,ch2o,470269
2025-10-09T09:00:00Z,10,ch2o,470269
2025-10-09T10:00:00Z,9.25,ch2o,470269
2025-10-09T11:00:00Z,9,ch2o,470269
2025-10-09T12:00:00Z,8.25,ch2o,470269
2025-10-09T13:00:00Z,8,ch2o,470269
2025-10-09T14:00:00Z,8.75,ch2o,470269
2025-10-09T15:00:00Z,9,ch2o,470269
2025-10-09T16:00:00Z,8.25,ch2o,470269
2025-10-09T17:00:00Z,8,ch2o,470269
2025-10-09T18:00:00Z,10.5,ch2o,470269
2025-10-09T19:00:00Z,13,ch2o,470269
2025-10-09T20:00:00Z,16.63,ch2o,470269
2025-10-09T21:00:00Z,16,ch2o,470269
2025-10-09T22:00:00Z,17.5,ch2o,470269
2025-10-09T23:00:00Z,19,ch2o,470269
2025-10-10T00:00:00Z,16.6,ch2o,470269
2025-10-07T04:00:00Z,0,ch2o,470536
2025-10-07T05:00:00Z,0,ch2o,470536
2025-10-07T06:00:00Z,0,ch2o,470536
2025-10-07T07:00:00Z,0,ch2o,470536
2025-10-07T08:00:00Z,0,ch2o,470536
2025-10-07T09:00:00Z,0,ch2o,470536
2025-10-07T10:00:00Z,0,ch2o,470536
2025-10-07T11:00:00Z,0,ch2o,470536
2025-10-07T12:00:00Z,0,ch2o,470536
2025-10-07T13:00:00Z,0,ch2o,470536
2025-10-07T14:00:00Z,0,ch2o,470536
2025-10-07T15:00:00Z,0,ch2o,470536
2025-10-07T16:00:00Z,0,ch2o,470536
2025-10-07T17:00:00Z,0,ch2o,470536
2025-10-07T18:00:00Z,0,ch2o,470536
2025-10-07T19:00:00Z,0,ch2o,470536
2025-10-07T20:00:00Z,0,ch2o,470536
2025-10-07T21:00:00Z,0,ch2o,470536
2025-10-07T22:00:00Z,0,ch2o,470536
2025-10-07T23:00:00Z,0,ch2o,470536
2025-10-08T00:00:00Z,0,ch2o,470536
2025-10-08T01:00:00Z,0,ch2o,470536
2025-10-08T02:00:00Z,0,ch2o,470536
2025-10-08T03:00:00Z,0,ch2o,470536
2025-10-08T04:00:00Z,0,ch2o,470536
2025-10-08T05:00:00Z,0,ch2o,470536
2025-10-08T06:00:00Z,0,ch2o,470536
2025-10-08T07:00:00Z,0,ch2o,470536
2025-10-08T08:00:00Z,0,ch2o,470536
2025-10-08T09:00:00Z,0,ch2o,470536
2025-10-08T10:00:00Z,0,ch2o,470536
2025-10-08T11:00:00Z,0,ch2o,470536
2025-10-08T12:00:00Z,0,ch2o,470536
2025-10-08T13:00:00Z,0,ch2o,470536
2025-10-08T14:00:00Z,0,ch2o,470536
2025-10-08T15:00:00Z,0,ch2o,470536
2025-10-08T16:00:00Z,0,ch2o,470536
2025-10-08T17:00:00Z,0,ch2o,470536
2025-10-08T18:00:00Z,0,ch2o,470536
2025-10-08T19:00:00Z,0,ch2o,470536
2025-10-08T20:00:00Z,0,ch2o,470536
2025-10-08T21:00:00Z,0,ch2o,470536
2025-10-08T22:00:00Z,0,ch2o,470536
2025-10-08T23:00:00Z,0,ch2o,470536
2025-10-09T00:00:00Z,0,ch2o,470536
2025-10-09T01:00:00Z,0,ch2o,470536
2025-10-09T02:00:00Z,0,ch2o,470536
2025-10-09T03:00:00Z,0,ch2o,470536
2025-10-09T04:00:00Z,0,ch2o,470536
2025-10-09T05:00:00Z,0,ch2o,470536
2025-10-09T06:00:00Z,0,ch2o,470536
2025-10-09T07:00:00Z,0,ch2o,470536
2025-10-09T08:00:00Z,0,ch2o,470536
2025-10-09T09:00:00Z,0,ch2o,470536
2025-10-09T10:00:00Z,0,ch2o,470536
2025-10-09T11:00:00Z,0,ch2o,470536
2025-10-09T12:00:00Z,0,ch2o,470536
2025-10-09T13:00:00Z,0,ch2o,470536
2025-10-09T14:00:00Z,0,ch2o,470536
2025-10-09T15:00:00Z,0,ch2o,470536
2025-10-09T16:00:00Z,0,ch2o,470536
2025-10-09T17:00:00Z,0,ch2o,470536
2025-10-09T18:00:00Z,0,ch2o,470536
2025-10-09T19:00:00Z,0,ch2o,470536
2025-10-09T20:00:00Z,0,ch2o,470536
2025-10-09T21:00:00Z,0,ch2o,470536
2025-10-09T22:00:00Z,0,ch2o,470536
2025-10-09T23:00:00Z,0,ch2o,470536
2025-10-10T00:00:00Z,0,ch2o,470536
2025-10-10T01:00:00Z,0,ch2o,470536
2025-10-10T02:00:00Z,0,ch2o,470536
2025-10-10T03:00:00Z,0,ch2o,470536
2025-10-07T04:00:00Z,13,ch2o,470575
2025-10-07T05:00:00Z,12.8,ch2o,470575
2025-10-07T06:00:00Z,13,ch2o,470575
2025-10-07T07:00:00Z,13,ch2o,470575
2025-10-07T08:00:00Z,13,ch2o,470575
2025-10-07T09:00:00Z,13,ch2o,470575
2025-10-07T10:00:00Z,13,ch2o,470575
2025-10-07T11:00:00Z,13,ch2o,470575
2025-10-07T12:00:00Z,13,ch2o,470575
2025-10-07T13:00:00Z,13,ch2o,470575
2025-10-07T14:00:00Z,13,ch2o,470575
2025-10-07T15:00:00Z,12.75,ch2o,470575
2025-10-07T16:00:00Z,13,ch2o,470575
2025-10-07T17:00:00Z,12.75,ch2o,470575
2025-10-07T18:00:00Z,12,ch2o,470575
2025-10-07T19:00:00Z,12.25,ch2o,470575
2025-10-07T20:00:00Z,13,ch2o,470575
2025-10-07T21:00:00Z,12.75,ch2o,470575
2025-10-07T22:00:00Z,12,ch2o,470575
2025-10-07T23:00:00Z,12,ch2o,470575
2025-10-08T00:00:00Z,12,ch2o,470575
2025-10-08T01:00:00Z,12,ch2o,470575
2025-10-08T02:00:00Z,12,ch2o,470575
2025-10-08T03:00:00Z,12,ch2o,470575
2025-10-08T04:00:00Z,12,ch2o,470575
2025-10-08T05:00:00Z,12,ch2o,470575
2025-10-08T06:00:00Z,12,ch2o,470575
2025-10-08T07:00:00Z,12,ch2o,470575
2025-10-08T08:00:00Z,12,ch2o,470575
2025-10-08T09:00:00Z,12,ch2o,470575
2025-10-08T10:00:00Z,12,ch2o,470575
2025-10-08T11:00:00Z,12,ch2o,470575
2025-10-08T12:00:00Z,12,ch2o,470575
2025-10-08T13:00:00Z,12,ch2o,470575
2025-10-08T14:00:00Z,12,ch2o,470575
2025-10-08T15:00:00Z,12,ch2o,470575
2025-10-08T16:00:00Z,12.67,ch2o,470575
2025-10-08T17:00:00Z,13,ch2o,470575
2025-10-08T18:00:00Z,13,ch2o,470575
2025-10-08T19:00:00Z,13,ch2o,470575
2025-10-08T20:00:00Z,13,ch2o,470575
2025-10-08T21:00:00Z,13,ch2o,470575
2025-10-08T22:00:00Z,13,ch2o,470575
2025-10-08T23:00:00Z,13,ch2o,470575
2025-10-09T00:00:00Z,13,ch2o,470575
2025-10-09T01:00:00Z,13,ch2o,470575
2025-10-09T02:00:00Z,13,ch2o,470575
2025-10-09T03:00:00Z,13,ch2o,470575
2025-10-09T04:00:00Z,13,ch2o,470575
2025-10-09T05:00:00Z,13,ch2o,470575
2025-10-09T06:00:00Z,13,ch2o,470575
2025-10-09T07:00:00Z,12.8,ch2o,470575
2025-10-09T08:00:00Z,13,ch2o,470575
2025-10-09T09:00:00Z,13,ch2o,470575
2025-10-09T10:00:00Z,13,ch2o,470575
2025-10-09T11:00:00Z,13,ch2o,470575
2025-10-09T12:00:00Z,13,ch2o,470575
2025-10-09T13:00:00Z,13,ch2o,470575
2025-10-09T14:00:00Z,13,ch2o,470575
2025-10-09T15:00:00Z,13.8,ch2o,470575
2025-10-09T16:00:00Z,15,ch2o,470575
2025-10-09T17:00:00Z,13.8,ch2o,470575
2025-10-09T18:00:00Z,13,ch2o,470575
2025-10-09T19:00:00Z,13,ch2o,470575
2025-10-09T20:00:00Z,13,ch2o,470575
2025-10-09T21:00:00Z,13.5,ch2o,470575
2025-10-09T22:00:00Z,14,ch2o,470575
2025-10-09T23:00:00Z,13.5,ch2o,470575
2025-10-10T00:00:00Z,13,ch2o,470575
2025-10-10T01:00:00Z,13,ch2o,470575
2025-10-10T02:00:00Z,13,ch2o,470575
2025-10-10T03:00:00Z,13,ch2o,470575
2025-10-07T04:00:00Z,13,ch2o,470590
2025-10-07T05:00:00Z,13,ch2o,470590
2025-10-07T06:00:00Z,12.8,ch2o,470590
2025-10-07T07:00:00Z,13,ch2o,470590
2025-10-07T08:00:00Z,13,ch2o,470590
2025-10-07T09:00:00Z,13,ch2o,470590
2025-10-07T10:00:00Z,13,ch2o,470590
2025-10-07T11:00:00Z,13,ch2o,470590
2025-10-07T12:00:00Z,13,ch2o,470590
2025-10-07T13:00:00Z,13,ch2o,470590
2025-10-07T14:00:00Z,12.8,ch2o,470590
2025-10-07T15:00:00Z,13,ch2o,470590
2025-10-07T16:00:00Z,13,ch2o,470590
2025-10-07T17:00:00Z,13,ch2o,470590
2025-10-07T18:00:00Z,13,ch2o,470590
2025-10-07T19:00:00Z,13,ch2o,470590
2025-10-07T20:00:00Z,13,ch2o,470590
2025-10-07T21:00:00Z,13,ch2o,470590
2025-10-07T22:00:00Z,13,ch2o,470590
2025-10-07T23:00:00Z,13,ch2o,470590
2025-10-08T00:00:00Z,13,ch2o,470590
2025-10-08T01:00:00Z,12.8,ch2o,470590
2025-10-08T02:00:00Z,13,ch2o,470590
2025-10-08T03:00:00Z,12.75,ch2o,470590
2025-10-08T04:00:00Z,13,ch2o,470590
2025-10-08T05:00:00Z,12.25,ch2o,470590
2025-10-08T06:00:00Z,12,ch2o,470590
2025-10-08T07:00:00Z,12.75,ch2o,470590
2025-10-08T08:00:00Z,13,ch2o,470590
2025-10-08T09:00:00Z,13,ch2o,470590
2025-10-08T10:00:00Z,13,ch2o,470590
2025-10-08T11:00:00Z,13,ch2o,470590
2025-10-08T12:00:00Z,13,ch2o,470590
2025-10-08T13:00:00Z,13,ch2o,470590
2025-10-08T14:00:00Z,13,ch2o,470590
2025-10-08T15:00:00Z,13,ch2o,470590
2025-10-08T16:00:00Z,13,ch2o,470590
2025-10-08T17:00:00Z,13,ch2o,470590
2025-10-08T18:00:00Z,13,ch2o,470590
2025-10-08T19:00:00Z,13,ch2o,470590
2025-10-08T20:00:00Z,13,ch2o,470590
2025-10-08T21:00:00Z,13,ch2o,470590
2025-10-08T22:00:00Z,13,ch2o,470590
2025-10-08T23:00:00Z,13,ch2o,470590
2025-10-09T00:00:00Z,13,ch2o,470590
2025-10-09T01:00:00Z,13,ch2o,470590
2025-10-09T02:00:00Z,13,ch2o,470590
2025-10-09T03:00:00Z,13,ch2o,470590
2025-10-09T04:00:00Z,14,ch2o,470590
2025-10-07T04:00:00Z,16,ch2o,470611
2025-10-07T05:00:00Z,16,ch2o,470611
2025-10-07T06:00:00Z,15.5,ch2o,470611
2025-10-07T07:00:00Z,16,ch2o,470611
2025-10-07T08:00:00Z,16.5,ch2o,470611
2025-10-07T09:00:00Z,17,ch2o,470611
2025-10-07T10:00:00Z,17,ch2o,470611
2025-10-07T11:00:00Z,17,ch2o,470611
2025-10-07T12:00:00Z,16.75,ch2o,470611
2025-10-07T13:00:00Z,16,ch2o,470611
2025-10-07T14:00:00Z,16.25,ch2o,470611
2025-10-07T15:00:00Z,17,ch2o,470611
2025-10-07T16:00:00Z,16.4,ch2o,470611
2025-10-07T17:00:00Z,16,ch2o,470611
2025-10-07T18:00:00Z,16,ch2o,470611
2025-10-07T19:00:00Z,16,ch2o,470611
2025-10-07T20:00:00Z,16.25,ch2o,470611
2025-10-07T21:00:00Z,17,ch2o,470611
2025-10-07T22:00:00Z,17,ch2o,470611
2025-10-07T23:00:00Z,15,ch2o,470611
2025-10-08T00:00:00Z,15,ch2o,470611
2025-10-08T01:00:00Z,14,ch2o,470611
2025-10-08T02:00:00Z,14,ch2o,470611
2025-10-08T03:00:00Z,13.75,ch2o,470611
2025-10-08T04:00:00Z,14,ch2o,470611
